Epic,Story ID,Issue Type,Summary,Description,Acceptance Criteria,Priority,Status,Story Points,Labels,Component,Notes
ONBOARDING,HUDDL-001,Epic,User Onboarding & Registration Flow,"Complete multi-step onboarding flow for new users registering on Huddl Connect.","All onboarding steps are navigable in sequence; user data is persisted via OnboardingDataService; completion navigates to home.",High,Done,21,onboarding;auth,Onboarding,"Delivered – screens: splash_screen | onboarding_carousel_screen | name_input_screen | parent_type_screen | stage_of_life_screen | postcode_screen | due_date_screen | child_info_screen | phone_number_screen | password_screen | verification_screen | welcome_complete_screen | add_photo_screen | about_you_screen"
ONBOARDING,HUDDL-002,Story,Splash Screen with Brand Animation,"Animated splash screen that checks auth state and routes user to onboarding or home.","Splash displays Huddl logo; checks Firebase auth; routes to /onboarding if unauthenticated or /home if authenticated.",High,Done,3,onboarding;branding,Onboarding,lib/screens/onboarding/splash_screen.dart – SplashScreen class
ONBOARDING,HUDDL-003,Story,Onboarding Carousel / Value Proposition Screens,"3-page swipeable carousel introducing Huddl's core value propositions (Groups, Meetups, Marketplace).","3 carousel pages display; user can swipe or tap next; Get Started button on last page routes to /name_input.",High,Done,3,onboarding,Onboarding,lib/screens/onboarding/onboarding_carousel_screen.dart – OnboardingCarouselScreen
ONBOARDING,HUDDL-004,Story,Name Input Screen,"Collects user's first and last name during onboarding.","Text fields for first/last name; validation prevents empty submission; data saved to OnboardingDataService; progress bar shown.",High,Done,2,onboarding,Onboarding,lib/screens/onboarding/name_input_screen.dart – NameInputScreen
ONBOARDING,HUDDL-005,Story,Parent Type Selection Screen,"Allows user to select their parenting situation (e.g. Expecting, New Parent, Toddler Parent, etc.).","Multiple parent-type options rendered as selectable cards; selection saves to OnboardingDataService; Next button enabled on selection.",High,Done,3,onboarding,Onboarding,lib/screens/onboarding/parent_type_screen.dart – ParentTypeScreen
ONBOARDING,HUDDL-006,Story,Stage of Life Screen,"Captures user's life stage to personalise content and group suggestions.","Stage of life options displayed; user selects one; selection persisted; routing continues to postcode.",High,Done,2,onboarding,Onboarding,lib/screens/onboarding/stage_of_life_screen.dart – StageOfLifeScreen
ONBOARDING,HUDDL-007,Story,Postcode Entry Screen with Borough Resolution,"User enters UK postcode; system resolves borough automatically using PostcodeService.","Postcode field with UK format validation; PostcodeService resolves to borough on submission; error shown for invalid/unrecognised postcodes; borough saved.",High,Done,5,onboarding;hyperlocal,Onboarding,lib/screens/onboarding/postcode_screen.dart – PostcodeScreen; lib/services/postcode_service.dart – PostcodeService
ONBOARDING,HUDDL-008,Story,Due Date Entry Screen (Expecting Parents),"Date picker screen for expecting parents to enter due date.","Date picker displayed; selected date saved; only shown when parent_type = expecting.",Medium,Done,2,onboarding,Onboarding,lib/screens/onboarding/due_date_screen.dart – DueDateScreen
ONBOARDING,HUDDL-009,Story,Child Information Screen,"Captures name(s) and date(s) of birth for existing children.","Add child form with name + DOB; multiple children supported; data stored in OnboardingDataService.",High,Done,3,onboarding,Onboarding,lib/screens/onboarding/child_info_screen.dart – ChildInfoScreen
ONBOARDING,HUDDL-010,Story,Phone Number Screen with Country Code,"Collects user phone number for OTP verification with country code selector.","Country code dropdown (defaulting to +44 GB); phone number field; format validation; OTP triggered on submit.",High,Done,3,onboarding;auth,Onboarding,lib/screens/onboarding/phone_number_screen.dart – PhoneNumberScreen
ONBOARDING,HUDDL-011,Story,Password Creation Screen,"User creates a password during onboarding.","Password field with strength indicator; confirmation field; validation for minimum requirements; saved securely.",High,Done,2,onboarding;auth,Onboarding,lib/screens/onboarding/password_screen.dart – PasswordScreen
ONBOARDING,HUDDL-012,Story,OTP Verification Screen,"6-digit OTP entry screen for phone verification.","OTP input with auto-advance; resend capability after timeout; expiry handling; routes to welcome_complete on success.",High,Done,5,onboarding;auth,Onboarding,lib/screens/onboarding/verification_screen.dart – VerificationScreen; OTPService
ONBOARDING,HUDDL-013,Story,Welcome Complete Screen,"Final onboarding screen confirming setup and routing to main app.","Celebration UI shown; default groups auto-joined via DefaultGroupService; routes to /home.",High,Done,2,onboarding,Onboarding,lib/screens/onboarding/welcome_complete_screen.dart – WelcomeCompleteScreen
ONBOARDING,HUDDL-014,Story,Profile Photo Upload Screen,"User uploads a profile photo during onboarding.","Camera and gallery options offered; image cropping via ImageCropper; photo saved to Firebase Storage; preview shown.",High,Done,3,onboarding;media,Onboarding,lib/screens/onboarding/add_photo_screen.dart – AddPhotoScreen
ONBOARDING,HUDDL-015,Story,About You Screen,"Captures additional profile information (bio, interests) during onboarding.","Text fields for bio; interests selector; data saved to OnboardingDataService and Firestore user profile.",Medium,Done,2,onboarding,Onboarding,lib/screens/onboarding/about_you_screen.dart – AboutYouScreen
ONBOARDING,HUDDL-016,Story,Not Available Screen,"Shown when user's borough is not yet supported by Huddl.","Informative message explaining service area; email/waitlist capture; no further onboarding shown.",Medium,Done,2,onboarding;geo,Onboarding,lib/screens/onboarding/not_available_screen.dart – NotAvailableScreen
ONBOARDING,HUDDL-017,Story,Onboarding Progress Bar Widget,"Visual progress indicator displayed across all onboarding screens.","Progress bar updates correctly at each step; step count correct; consistent styling across screens.",Medium,Done,1,onboarding;ui,Onboarding,lib/widgets/onboarding_progress_bar.dart – OnboardingProgressBar
AUTH,HUDDL-018,Epic,Authentication (Login & Session Management),"Login, OTP re-authentication, and session persistence for returning users.","Users can log in; sessions persist across app restarts; OTP re-auth flow works.",High,Done,13,auth;firebase,Auth,Delivered
AUTH,HUDDL-019,Story,Login Screen with Email/Password,"Returning user login screen with email and password fields.","Email + password fields; validation; Firebase Auth integration via FirebaseAuthService; error messages for invalid credentials.",High,Done,5,auth;firebase,Auth,lib/screens/auth/login_screen.dart – LoginScreen; lib/services/firebase_auth_service.dart
AUTH,HUDDL-020,Story,Login OTP Screen,"OTP verification step during login for additional security.","6-digit OTP entry; auto-advance between digits; OTPService verifies; session established on success.",High,Done,3,auth,Auth,lib/screens/auth/login_otp_screen.dart – LoginOtpScreen
AUTH,HUDDL-021,Story,OTP Service – SMS Code Generation & Verification,"Backend-style OTP generation and verification logic (client-side; production requires Twilio/Vonage integration).","OTP generated as 6-digit random code; 5-minute expiry enforced; max 3 attempts per number; rate limiting.",High,Done,5,auth;backend,Auth,"lib/services/otp_service.dart – OTPService. NOTE: TODO in code – replace with real SMS API (Twilio/Vonage) for production."
AUTH,HUDDL-022,Story,Firebase Auth Service,"Wrapper around Firebase Authentication SDK for sign-in, sign-out, and user state management.","signIn/signOut methods work; auth state stream exposed; error handling for all Firebase auth exceptions.",High,Done,3,auth;firebase,Auth,lib/services/firebase_auth_service.dart – FirebaseAuthService
AUTH,HUDDL-023,Story,Biometric Authentication for Chat Tab,"Optional fingerprint/Face ID lock on the Messages tab for privacy.","Toggle in Profile → Security; biometric prompt shown on Messages tab access; falls back to device PIN; BiometricAuthService persists preference.",Medium,Done,3,auth;security;p3,Auth,lib/services/biometric_auth_service.dart – BiometricAuthService; local_auth package
HOME,HUDDL-024,Epic,Home Feed – Invisible AI Smart Feed,"Unified AI-powered home feed replacing legacy multi-section layout.","Smart feed displays ranked items; AI nudges integrated; announcements shown; feed preferences configurable.",High,Done,21,home;ai;feed,Home,lib/screens/home/home_screen.dart – HomeScreen (Invisible AI Redesign)
HOME,HUDDL-025,Story,Unified Smart Feed with AI Ranking,"Merges announcements, community feed items, and AI nudges into a single ranked list.","_SmartFeedItem list built by _buildSmartFeed(); AI feed service influences ranking; stagger animation on load.",High,Done,8,home;ai;feed,Home,lib/screens/home/home_screen.dart – _SmartFeedItem; lib/services/ai_feed_service.dart – AiFeedService
HOME,HUDDL-026,Story,Announcements Feed from AnnouncementService,"Community announcements displayed in home feed with like/comment interactions.","Announcements loaded from AnnouncementService; like/unlike works; comment count shown; announcement detail expandable.",High,Done,5,home;feed,Home,lib/services/announcement_service.dart – AnnouncementService; Announcement model
HOME,HUDDL-027,Story,Community Feed Integration,"FeedItem stream from CommunityFeedService displayed in home feed.","Feed items loaded via CommunityFeedService; item types (groups/events/marketplace) rendered differently; pull-to-refresh.",High,Done,5,home;feed,Home,lib/services/community_feed_service.dart – CommunityFeedService
HOME,HUDDL-028,Story,AI Feed Preferences (User Controls),"User can toggle feed categories on/off (groups, events, marketplace, announcements).","Feed preference toggles accessible from home screen; preferences persisted; feed rebuilds immediately on change.",Medium,Done,3,home;ai;feed,Home,lib/screens/home/home_screen.dart – _feedPrefs map; feed_preferences_v1 storage key
HOME,HUDDL-029,Story,AI Feedback (Thumbs Up/Down on Feed Items),"User can rate feed items to train the AI ranking engine.","Thumbs up/down icons on feed cards; interaction recorded to AiLearningEngineService; subtle visual feedback.",Medium,Done,3,home;ai;feedback,Home,lib/screens/home/home_screen.dart – AI feedback tracking
HOME,HUDDL-030,Story,Daily AI Refresh Cycle Integration (Step 14),"Home screen triggers DailyAiRefreshService on load if refresh is due.","Daily refresh triggered once per day; Steps 1-6 execute in background; feed updated post-refresh.",Medium,Done,5,home;ai;background,Home,lib/services/daily_ai_refresh_service.dart – DAILY AI REFRESH CYCLE V4; Steps 1-6
HOME,HUDDL-031,Story,Borough-Scoped Feed Enforcement,"Home feed respects borough scope so users only see content from their borough.","BoroughScopeGuard applied to feed data fetches; cross-borough content blocked; borough badge displayed.",High,Done,3,home;hyperlocal;borough,Home,lib/services/borough_scope_guard.dart – BoroughScopeGuard; lib/widgets/borough_badge.dart
HOME,HUDDL-032,Story,AI Learning Maturity Indicator,"Visual indicator showing how mature the AI personalisation is for the user.","Maturity widget displays on home; progresses through stages as user interacts; tooltip explains what it means.",Low,Done,2,home;ai;ux,Home,lib/widgets/learning_maturity_indicator.dart – LearningMaturityIndicator
HOME,HUDDL-033,Story,User Journey Map Screen,"In-app visualisation of parenting journey personas with stages, pain points, and emotional arc.","Journey map screen navigable from home; persona switcher; timeline of stages; pain points listed.",Low,Done,5,home;ux;design,Home,lib/screens/home/journey_map_screen.dart – JourneyMapScreen; lib/models/user_journey_map.dart
GROUPS,HUDDL-034,Epic,Groups & Community Chat,"Full-featured group chat and community management system.","Groups loadable, joinable, chateable; DMs work; all sub-features functional.",High,Done,89,groups;chat;community,Groups,Delivered across 13 screen files and 10 service files
GROUPS,HUDDL-035,Story,Groups Screen – My Groups / Discover Tabs,"Main groups hub with My Groups and Discover tabs plus DMs section.","My Groups tab shows joined groups; Discover tab shows available groups; DMs section lists direct message conversations; tabs switch correctly.",High,Done,8,groups;chat,Groups,lib/screens/groups/groups_screen.dart – GroupsScreen; DiscoverGroupsTab
GROUPS,HUDDL-036,Story,Group Chat Screen – Core Messaging,"Real-time group chat with text messaging, timestamps, and sender identification.","Messages displayed in chronological order; text messages sendable; sender name/avatar shown; timestamps displayed; Firestore real-time updates via FirestoreService.streamGroupMessages().",High,Done,13,groups;chat;realtime,Groups,lib/screens/groups/group_chat_screen.dart – GroupChatScreen; lib/services/firestore_service.dart
GROUPS,HUDDL-037,Story,Emoji Reactions on Messages,"Users can react to messages with emoji.","Long-press or tap reaction icon shows EmojiReactionPicker; reaction saved to gc_reactions_* storage; reaction counts displayed on messages.",Medium,Done,5,groups;chat;reactions,Groups,lib/widgets/emoji_reaction_picker.dart – EmojiReactionDisplay; lib/screens/groups/group_chat_screen.dart reaction state
GROUPS,HUDDL-038,Story,Thread Replies on Group Messages,"Users can start or join a thread on any message.","Tap 'Reply in thread' shows ThreadReplyScreen; thread message count badge shown on root message; all thread replies stored separately.",Medium,Done,8,groups;chat;threads,Groups,lib/screens/groups/thread_reply_screen.dart – ThreadReplyScreen; thread_replies_* storage
GROUPS,HUDDL-039,Story,Message Forwarding Between Groups and DMs,"Users can forward a message to another group or DM.","Forward icon on message actions; ForwardMessageSheet opens with group/DM selector; forwarded message shows original content with attribution card.",Medium,Done,5,groups;chat;forward,Groups,lib/screens/groups/forward_message_sheet.dart – ForwardMessageSheet; lib/widgets/group_invite_card.dart
GROUPS,HUDDL-040,Story,Media Attachment in Group Chat (Images/Documents),"Users can send images and documents in group chat.","Attachment bottom sheet opens; image picker or file picker shown; image/document uploaded to Firebase Storage; document bubble rendered for files.",High,Done,8,groups;chat;media,Groups,lib/services/media_attach_service.dart – MediaAttachService; lib/widgets/attach_bottom_sheet.dart; lib/widgets/document_bubble.dart
GROUPS,HUDDL-041,Story,Polls in Group Chat,"Create and vote on polls within a group chat.","+ menu in chat has 'Create Poll' option; CreatePollScreen allows question + options; poll displayed in chat; voting updates results in real-time; pinned polls shown at top.",High,Done,8,groups;chat;polls,Groups,lib/screens/groups/create_poll_screen.dart; lib/screens/groups/poll_detail_screen.dart; lib/screens/groups/group_polls_screen.dart; lib/services/poll_service.dart
GROUPS,HUDDL-042,Story,In-chat Message Search,"Search messages within a group chat by keyword.","Search icon in chat app bar activates search; results highlighted in chat; navigation between matches; clears on exit.",Medium,Done,3,groups;chat;search,Groups,lib/screens/groups/group_chat_screen.dart – _isSearching; _searchController; _searchMatches
